artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,source,matched_from,last_chart_year
sean paul featuring sasha,sean paul,sean paul,sean paul,Sean Paul,2ZVEnkCKF0ytNHpj9cLxte,dancehall;pop;electropop;dance-pop;ragga,musicbrainz,l1,2004
seatrain,seatrain,seatrain,seatrain,Seatrain,4LPvNsd8x4vqhqvy67OQCe,progressive folk;folk rock;psychedelic folk;jazz,musicbrainz,artist,1971
sebastian yatra,sebastian yatra,sebastian yatra,sebastian yatra,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,colombian pop;reggaeton,spotify,artist,2022
"sech, daddy yankee & j balvin featuring rosalia & farruko","sech, daddy yankee & j balvin",sech,sech,Sech,77ziqFxp5gaInVrF2lj4ht,reggaeton;urbano latino,spotify,l2,2020
"sech, darell, nicky jam, ozuna & anuel aa","sech, darell, nicky jam, ozuna & anuel aa",sech,sech,Sech,77ziqFxp5gaInVrF2lj4ht,reggaeton;urbano latino,spotify,l2,2019
secondhand serenade,secondhand serenade,secondhand serenade,secondhand serenade,Secondhand Serenade,6eouuqqGggqDlYRV63cgPo,emo,spotify,artist,2009
secret ties,secret ties,secret ties,secret ties,,,,none,,1987
seduction,seduction,seduction,seduction,Seduction,66pXn4ZrPf6yzk5PHGkUZA,freestyle,spotify,artist,1990
seether,seether,seether,seether,Seether,6B5c4sch27tWHAGdarpPaW,post-grunge;alternative metal;rock,spotify,artist,2011
seether featuring amy lee,seether,seether,seether,Seether,6B5c4sch27tWHAGdarpPaW,post-grunge;alternative metal;rock,spotify,l1,2005
seiko & donnie wahlberg,seiko & donnie wahlberg,seiko,seiko,SEIKO,6hrcbttKSlKdPTo7bKbOab,j-r&b;new jack swing,spotify,l2,1990
selena,selena,selena,selena,SELENA,43wmHfcsgPq5yhOWqNI52Q,vocaloid,spotify,artist,1996
selena gomez,selena gomez,selena gomez,selena gomez,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,pop;dance-pop;electropop;electro house;teen pop,musicbrainz,artist,2024
selena gomez & benny blanco,selena gomez & benny blanco,selena gomez,selena gomez,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,pop;dance-pop;electropop;electro house;teen pop,musicbrainz,l2,2025
selena gomez & demi lovato,selena gomez & demi lovato,selena gomez,selena gomez,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,pop;dance-pop;electropop;electro house;teen pop,musicbrainz,l2,2009
selena gomez & the scene,selena gomez & the scene,selena gomez,selena gomez,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,pop;dance-pop;electropop;electro house;teen pop,musicbrainz,l2,2012
selena gomez featuring a$ap rocky,selena gomez,selena gomez,selena gomez,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,pop;dance-pop;electropop;electro house;teen pop,musicbrainz,l1,2016
selena gomez featuring gucci mane,selena gomez,selena gomez,selena gomez,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,pop;dance-pop;electropop;electro house;teen pop,musicbrainz,l1,2017
selena gomez with rauw alejandro,selena gomez with rauw alejandro,selena gomez,selena gomez,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,pop;dance-pop;electropop;electro house;teen pop,musicbrainz,l2,2021
selena gomez x marshmello,selena gomez x marshmello,selena gomez,selena gomez,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,pop;dance-pop;electropop;electro house;teen pop,musicbrainz,l2,2018
"selena gomez, benny blanco & gracie abrams","selena gomez, benny blanco & gracie abrams",selena gomez,selena gomez,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,pop;dance-pop;electropop;electro house;teen pop,musicbrainz,l2,2025
"selena gomez, benny blanco & the marias","selena gomez, benny blanco & the marias",selena gomez,selena gomez,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,pop;dance-pop;electropop;electro house;teen pop,musicbrainz,l2,2025
senator bobby & senator mckinley,senator bobby & senator mckinley,senator bobby,senator bobby,Senator Bobby,72V8UKYw17GjsPjH7C5XIH,philly soul,spotify,l2,1967
senator bobby featuring bill minkin,senator bobby,senator bobby,senator bobby,Senator Bobby,72V8UKYw17GjsPjH7C5XIH,philly soul,spotify,l1,1967
senator everett mckinley dirksen,senator everett mckinley dirksen,senator everett mckinley dirksen,senator everett mckinley dirksen,,,,none,,1967
september,september,september,september,September,3ZwN2fJK0cf4FBp8RkYd8Q,dance;pop and chart,musicbrainz,artist,2008
sergio mendes,sergio mendes,sergio mendes,sergio mendes,Sergio Mendes,0MHaW3zlBrMckDiPkgYWwr,bossa nova;latin jazz;jazz;disco;pianist,musicbrainz,artist,1984
sergio mendes & brasil '66,sergio mendes & brasil '66,sergio mendes,sergio mendes,Sergio Mendes,0MHaW3zlBrMckDiPkgYWwr,bossa nova;latin jazz;jazz;disco;pianist,musicbrainz,l2,1969
serj tankian,serj tankian,serj tankian,serj tankian,Serj Tankian,0BEI7i5sgUuivcfwXLzFmM,experimental rock;alternative metal;rock;alternative rock;progressive rock,musicbrainz,artist,2007
